Time,Open,High,Low,Close,Volume
05.11.2012 10:03:00,1.27933,1.27937,1.2792,1.27937,139.26
05.11.2012 10:04:00,1.27936,1.27944,1.27936,1.2794,61.71
05.11.2012 10:05:00,1.27938,1.27942,1.27925,1.27927,151.31
05.11.2012 10:06:00,1.27928,1.27928,1.27909,1.27912,129.33
05.11.2012 10:07:00,1.27912,1.2793,1.27902,1.2793,171.52
05.11.2012 10:08:00,1.27931,1.27936,1.27919,1.27935,223.85
05.11.2012 10:09:00,1.27935,1.27936,1.27912,1.27915,234.76
05.11.2012 10:10:00,1.27917,1.27936,1.27917,1.27934,170.64
05.11.2012 10:11:00,1.27937,1.27943,1.27924,1.27933,84.89
05.11.2012 10:12:00,1.27937,1.27956,1.27935,1.27946,131.32
05.11.2012 10:13:00,1.27942,1.27967,1.27942,1.27967,216.26
05.11.2012 10:14:00,1.27967,1.27967,1.2795,1.27953,75.8
05.11.2012 10:15:00,1.27954,1.27958,1.27944,1.2795,143.79
05.11.2012 10:16:00,1.2795,1.27953,1.27935,1.27946,360.67
05.11.2012 10:17:00,1.27945,1.27955,1.27945,1.27945,64.49
05.11.2012 10:18:00,1.27945,1.27957,1.27942,1.27952,110.24
05.11.2012 10:19:00,1.27949,1.27955,1.27945,1.27948,99.45
05.11.2012 10:20:00,1.27946,1.27954,1.27942,1.27949,153.49
05.11.2012 10:21:00,1.27946,1.27946,1.27925,1.27925,182.76
05.11.2012 10:22:00,1.27926,1.27934,1.2792,1.27924,218.73
05.11.2012 10:23:00,1.27922,1.27932,1.27885,1.27893,329
05.11.2012 10:24:00,1.27893,1.27893,1.27834,1.27839,306.59
05.11.2012 10:25:00,1.27837,1.27856,1.27831,1.27844,436.03
05.11.2012 10:26:00,1.27844,1.27854,1.27834,1.27843,115.71
05.11.2012 10:27:00,1.27843,1.27857,1.27842,1.27842,200.47
05.11.2012 10:28:00,1.27842,1.27872,1.2784,1.27863,327.2
05.11.2012 10:29:00,1.27862,1.27862,1.27837,1.27837,258.39
05.11.2012 10:30:00,1.27835,1.27874,1.27817,1.27874,263.39
05.11.2012 10:31:00,1.27874,1.27874,1.27817,1.27817,368
05.11.2012 10:32:00,1.27819,1.27845,1.27819,1.27844,79.59
05.11.2012 10:33:00,1.27845,1.27848,1.27844,1.27846,56.76
05.11.2012 10:34:00,1.27848,1.27858,1.27848,1.27854,110.42
05.11.2012 10:35:00,1.27855,1.27863,1.27852,1.27863,87.72
05.11.2012 10:36:00,1.27866,1.27866,1.27858,1.27863,85.38
05.11.2012 10:37:00,1.27862,1.27867,1.27858,1.27865,42.9
05.11.2012 10:38:00,1.27865,1.27888,1.27865,1.27884,133.51
05.11.2012 10:39:00,1.27883,1.2791,1.27883,1.27907,143.81
05.11.2012 10:40:00,1.27908,1.27918,1.27904,1.27913,220.89
05.11.2012 10:41:00,1.27913,1.2793,1.27913,1.27925,169.69
05.11.2012 10:42:00,1.27924,1.2793,1.27918,1.27921,112.2
